,date,user,change_amt
568,"08:20, 14 September 2006",Bearcat,+23
569,"08:17, 14 September 2006",Kizor,+91
570,"08:16, 14 September 2006",74.57.13.166,−1
571,"08:13, 14 September 2006",Bearcat,−268
572,"08:12, 14 September 2006",Bearcat,+69
573,"08:11, 14 September 2006",74.107.142.168,+4
574,"08:10, 14 September 2006",74.107.142.168,+35
575,"08:03, 14 September 2006",Bearcat,+198
576,"07:53, 14 September 2006",220.236.133.225,−57
577,"07:44, 14 September 2006",Ariasne,−1
578,"07:41, 14 September 2006",Muniam,+1
579,"07:30, 14 September 2006",Crais459,−4
580,"07:30, 14 September 2006",70.82.38.213,+57
581,"07:24, 14 September 2006",Edcolins,+20
582,"07:20, 14 September 2006",71.110.176.171,+4
583,"07:19, 14 September 2006",71.110.176.171,+4
584,"07:00, 14 September 2006",Bryan Derksen,+8
585,"06:59, 14 September 2006",Bryan Derksen,+8
586,"06:59, 14 September 2006",24.203.24.181,−404
587,"06:54, 14 September 2006",Jared Hunt,+46
588,"06:54, 14 September 2006",Jared Hunt,+304
589,"06:43, 14 September 2006",24.68.180.163,0
590,"06:36, 14 September 2006",Sijarvis,−1
591,"06:30, 14 September 2006",Platypus222,+22
592,"06:25, 14 September 2006",R'son-W,0
593,"06:11, 14 September 2006",Wikianon,+106
594,"06:08, 14 September 2006",132.241.246.111,−231
595,"06:08, 14 September 2006",Wikianon,+109
596,"06:04, 14 September 2006",132.241.246.111,+229
597,"06:04, 14 September 2006",132.241.246.111,−228
598,"06:03, 14 September 2006",132.241.246.111,+278
599,"06:02, 14 September 2006",SG,−130
600,"06:02, 14 September 2006",Wikianon,+93
601,"06:01, 14 September 2006",SG,−104
602,"05:59, 14 September 2006",132.241.246.111,+104
603,"05:58, 14 September 2006",BalthCat,0
604,"05:56, 14 September 2006",BalthCat,−107
605,"05:55, 14 September 2006",BalthCat,+26
606,"05:53, 14 September 2006",160.102.78.57,0
607,"05:53, 14 September 2006",132.241.246.111,+107
608,"05:52, 14 September 2006",BalthCat,−107
609,"05:50, 14 September 2006",132.241.246.111,+168
610,"05:48, 14 September 2006",BalthCat,+81
611,"05:47, 14 September 2006",Wikianon,−190
612,"05:47, 14 September 2006",SorryGuy,−2
613,"05:45, 14 September 2006",SorryGuy,0
614,"05:45, 14 September 2006",Wikianon,+326
615,"05:43, 14 September 2006",132.241.246.111,+107
616,"05:42, 14 September 2006",130.220.79.99,−107
617,"05:41, 14 September 2006",132.241.246.111,+1
618,"05:40, 14 September 2006",Wikianon,−150
619,"05:40, 14 September 2006",132.241.246.111,+129
620,"05:36, 14 September 2006",132.241.246.111,+19
621,"05:36, 14 September 2006",JodoYodo,+14
622,"05:35, 14 September 2006",132.241.246.111,0
623,"05:35, 14 September 2006",132.241.246.111,+12
624,"05:34, 14 September 2006",132.241.246.111,+78
625,"05:31, 14 September 2006",132.241.246.111,+124
626,"05:27, 14 September 2006",BalthCat,−150
627,"05:22, 14 September 2006",132.241.246.111,+98
628,"05:19, 14 September 2006",132.241.246.111,0
629,"05:19, 14 September 2006",Soltras,−1
630,"05:18, 14 September 2006",Apple2gs,+456
631,"05:16, 14 September 2006",Wikianon,+93
632,"05:15, 14 September 2006",Lawikitejana,+30
633,"05:13, 14 September 2006",132.241.246.111,+154
634,"05:10, 14 September 2006",70.51.8.54,+117
635,"05:10, 14 September 2006",132.241.246.111,+13
636,"05:03, 14 September 2006",Gregorof,+1
637,"05:03, 14 September 2006",Gregorof,+35
638,"05:02, 14 September 2006",Gregorof,+111
639,"04:59, 14 September 2006",Gregorof,−89
640,"04:51, 14 September 2006",PDH,−137
641,"04:45, 14 September 2006",Gregorof,0
642,"04:45, 14 September 2006",RoyBoy,−4
643,"04:45, 14 September 2006",64.131.226.64,+1
644,"04:44, 14 September 2006",RoyBoy,+8
645,"04:43, 14 September 2006",RoyBoy,+1
646,"04:43, 14 September 2006",69.156.205.45,−6
647,"04:43, 14 September 2006",206.116.223.190,+2
648,"04:41, 14 September 2006",70.48.123.132,−21
649,"04:40, 14 September 2006",70.48.123.132,0
650,"04:40, 14 September 2006",70.48.123.132,+309
651,"04:39, 14 September 2006",Peruvianllama,−5
652,"04:37, 14 September 2006",RoyBoy,−1
653,"04:37, 14 September 2006",Gregorof,+268
654,"04:37, 14 September 2006",Peruvianllama,+16
655,"04:36, 14 September 2006",RoyBoy,+29
656,"04:29, 14 September 2006",209.53.208.83,+6
657,"04:05, 14 September 2006",70.82.87.89,0
658,"04:00, 14 September 2006",70.51.11.242,+457
659,"03:57, 14 September 2006",HappyCamper,+42
660,"03:57, 14 September 2006",SG,−172
661,"03:56, 14 September 2006",HappyCamper,+1
662,"03:52, 14 September 2006",70.51.11.242,+191
663,"03:39, 14 September 2006",HappyCamper,+2
664,"03:35, 14 September 2006",69.157.189.237,+1
665,"03:28, 14 September 2006",HappyCamper,−435
666,"03:28, 14 September 2006",Jared Hunt,−8
667,"03:27, 14 September 2006",70.51.11.242,+435
668,"03:26, 14 September 2006",HappyCamper,−478
669,"03:25, 14 September 2006",Elbac14,+4
670,"03:25, 14 September 2006",Elbac14,+61
671,"03:23, 14 September 2006",71.198.29.104,+25
672,"03:22, 14 September 2006",70.51.11.242,+324
673,"03:14, 14 September 2006",Denstat,+21
674,"03:13, 14 September 2006",24.37.179.73,+88
675,"03:11, 14 September 2006",Quiddity,+9
676,"03:08, 14 September 2006",HappyCamper,+10
677,"03:07, 14 September 2006",HappyCamper,−424
678,"03:04, 14 September 2006",70.53.190.238,−346
679,"03:04, 14 September 2006",70.53.190.238,0
680,"03:01, 14 September 2006",Jared Hunt,+4
681,"03:00, 14 September 2006",Jared Hunt,+183
682,"02:57, 14 September 2006",154.20.161.143,−21
683,"02:56, 14 September 2006",Radagast,+41
684,"02:53, 14 September 2006",Jared Hunt,0
685,"02:52, 14 September 2006",Jared Hunt,+449
686,"02:50, 14 September 2006",HappyCamper,+63
687,"02:50, 14 September 2006",HappyCamper,−63
688,"02:45, 14 September 2006",Jared Hunt,+63
689,"02:42, 14 September 2006",HappyCamper,+1
690,"02:42, 14 September 2006",209.205.244.5,+23
691,"02:42, 14 September 2006",HappyCamper,+85
692,"02:40, 14 September 2006",72.150.208.113,−9
693,"02:26, 14 September 2006",NorthernThunder,+33
694,"02:23, 14 September 2006",NickW557,−1
695,"02:22, 14 September 2006",64.229.9.215,+1
696,"02:20, 14 September 2006",67.68.227.145,−3
697,"02:19, 14 September 2006",HappyCamper,−196
698,"02:18, 14 September 2006",69.143.236.120,+196
699,"02:17, 14 September 2006",HappyCamper,+226
700,"02:15, 14 September 2006",A8J,+41
701,"02:12, 14 September 2006",HappyCamper,+81
702,"02:12, 14 September 2006",Maltiti,+8
703,"02:12, 14 September 2006",Rssaddict,0
704,"02:11, 14 September 2006",Maltiti,+69
705,"02:08, 14 September 2006",HappyCamper,+118
706,"02:08, 14 September 2006",Maltiti,+20
707,"02:06, 14 September 2006",Maltiti,−20
708,"02:05, 14 September 2006",HappyCamper,
709,"02:04, 14 September 2006",165.21.155.12,−275
710,"02:04, 14 September 2006",165.21.155.15,
711,"02:04, 14 September 2006",165.21.155.10,−257
712,"02:04, 14 September 2006",165.21.155.16,−242
713,"02:04, 14 September 2006",165.21.155.17,−292
714,"02:03, 14 September 2006",165.21.155.11,
715,"02:03, 14 September 2006",165.21.155.15,
716,"02:03, 14 September 2006",165.21.155.11,
717,"02:03, 14 September 2006",HappyCamper,−29
718,"02:02, 14 September 2006",HappyCamper,0
719,"01:59, 14 September 2006",HappyCamper,+270
720,"01:56, 14 September 2006",HappyCamper,+6
721,"01:55, 14 September 2006",HappyCamper,+66
722,"01:54, 14 September 2006",HappyCamper,−10
723,"01:50, 14 September 2006",HappyCamper,+1
724,"01:49, 14 September 2006",HappyCamper,+10
725,"01:48, 14 September 2006",HappyCamper,−181
726,"01:45, 14 September 2006",65.94.229.218,+6
727,"01:44, 14 September 2006",24.203.122.62,+142
728,"01:43, 14 September 2006",65.94.229.218,0
729,"01:42, 14 September 2006",Simonfl,−6
730,"01:38, 14 September 2006",HappyCamper,+14
731,"01:35, 14 September 2006",HappyCamper,−13
732,"01:35, 14 September 2006",HappyCamper,0
733,"01:33, 14 September 2006",JuliaRowan,+6
734,"01:32, 14 September 2006",Mets501,+13
735,"01:31, 14 September 2006",Mets501,0
736,"01:29, 14 September 2006",HappyCamper,+9
737,"01:27, 14 September 2006",69.234.149.119,−9
738,"01:26, 14 September 2006",AntiVandalBot,−17
739,"01:26, 14 September 2006",69.234.149.119,+17
740,"01:24, 14 September 2006",Warren,−39
741,"01:24, 14 September 2006",69.234.149.119,+39
742,"01:22, 14 September 2006",SG,−182
743,"01:21, 14 September 2006",24.255.191.225,−1
744,"01:17, 14 September 2006",AntiVandalBot,
745,"01:17, 14 September 2006",142.167.224.145,
746,"01:15, 14 September 2006",Longhair,−4
747,"01:15, 14 September 2006",66.131.83.83,+185
748,"01:09, 14 September 2006",GrahameS,−40
749,"01:07, 14 September 2006",66.131.83.83,+2
750,"01:07, 14 September 2006",70.82.60.117,+7
751,"01:05, 14 September 2006",Qviri,−8
752,"01:04, 14 September 2006",24.27.124.213,+5
753,"01:03, 14 September 2006",64.229.9.215,−1
754,"01:02, 14 September 2006",64.229.9.215,+4
755,"00:55, 14 September 2006",Gdavidp1,−5
756,"00:54, 14 September 2006",Kyorosuke,+13
757,"00:51, 14 September 2006",NorthernThunder,−1
758,"00:49, 14 September 2006",Deenoe,+86
759,"00:46, 14 September 2006",Deenoe,−4
760,"00:41, 14 September 2006",Gregorof,+2
761,"00:41, 14 September 2006",70.51.10.72,+195
762,"00:38, 14 September 2006",SG,−230
763,"00:37, 14 September 2006",70.51.10.72,+81
764,"00:35, 14 September 2006",65.94.229.218,+21
765,"00:35, 14 September 2006",70.51.10.72,0
766,"00:34, 14 September 2006",70.51.10.72,0
767,"00:34, 14 September 2006",65.94.229.218,+211
768,"00:34, 14 September 2006",70.51.10.72,+181
769,"00:31, 14 September 2006",70.51.10.72,+147
770,"00:09, 14 September 2006",SG,−6
771,"00:08, 14 September 2006",SG,−34
772,"00:08, 14 September 2006",Ground Zero,+36
773,"00:03, 14 September 2006",Sfllaw,−2
774,"00:03, 14 September 2006",Lsjzl,0
775,"23:01, 13 September 2006",Kizor,+3
776,"23:00, 13 September 2006",Kizor,−39
777,"22:58, 13 September 2006",RoyBoy,−17
778,"22:57, 13 September 2006",RoyBoy,
779,"22:55, 13 September 2006",Kizor,+89
780,"22:54, 13 September 2006",RoyBoy,−40
781,"22:52, 13 September 2006",Kizor,−33
782,"22:50, 13 September 2006",Kizor,−139
783,"22:49, 13 September 2006",Wbmsic,+139
784,"22:46, 13 September 2006",SG,+141
785,"22:43, 13 September 2006",SG,−131
786,"22:38, 13 September 2006",SG,+26
787,"22:37, 13 September 2006",Kizor,−90
788,"22:33, 13 September 2006",Chainedtothedream,+174
789,"22:29, 13 September 2006",Kizor,−1
790,"22:27, 13 September 2006",Telso,+81
791,"22:24, 13 September 2006",Kizor,+35
792,"22:21, 13 September 2006",Lsjzl,+162
793,"22:20, 13 September 2006",Kizor,+20
794,"22:17, 13 September 2006",Kizor,−140
795,"22:15, 13 September 2006",Swarthington,+4
796,"22:14, 13 September 2006",WTGDMan1986,+36
797,"22:13, 13 September 2006",65.92.162.90,−8
798,"22:13, 13 September 2006",Kizor,+33
799,"22:11, 13 September 2006",SG,+54
800,"22:10, 13 September 2006",132.205.45.148,+152
801,"22:09, 13 September 2006",SG,−46
802,"22:09, 13 September 2006",Wasabe3543,−11
803,"22:05, 13 September 2006",Kizor,−65
804,"22:03, 13 September 2006",Bearcat,+10
805,"22:00, 13 September 2006",64.229.126.32,+18
806,"22:00, 13 September 2006",70.80.26.182,+11
807,"21:59, 13 September 2006",RoyBoy,+6
808,"21:58, 13 September 2006",MoneyMantra,+9
809,"21:57, 13 September 2006",Shadow1,−8
810,"21:57, 13 September 2006",MoneyMantra,+46
811,"21:54, 13 September 2006",RoyBoy,−57
812,"21:51, 13 September 2006",RoyBoy,+1
813,"21:50, 13 September 2006",WATP,0
814,"21:49, 13 September 2006",Kizor,+1
815,"21:49, 13 September 2006",RoyBoy,0
816,"21:48, 13 September 2006",Kizor,−72
817,"21:47, 13 September 2006",RoyBoy,−1
818,"21:46, 13 September 2006",RoyBoy,−1
819,"21:45, 13 September 2006",RoyBoy,+33
820,"21:44, 13 September 2006",Kizor,−23
821,"21:43, 13 September 2006",Kizor,
822,"21:40, 13 September 2006",Deenoe,+98
823,"21:37, 13 September 2006",RoyBoy,−1
824,"21:36, 13 September 2006",68.147.85.165,+91
825,"21:35, 13 September 2006",RoyBoy,+5
826,"21:34, 13 September 2006",Kizor,−172
827,"21:32, 13 September 2006",Kizor,+180
828,"21:29, 13 September 2006",Timkmak,+95
829,"21:29, 13 September 2006",WATP,+51
830,"21:26, 13 September 2006",Timkmak,+63
831,"21:25, 13 September 2006",64.229.72.222,+9
832,"21:24, 13 September 2006",Kizor,−1
833,"21:23, 13 September 2006",69.154.161.38,+4
834,"21:23, 13 September 2006",69.154.161.38,+150
835,"21:22, 13 September 2006",Kizor,+122
836,"21:19, 13 September 2006",Kizor,+147
837,"21:16, 13 September 2006",Kizor,+31
838,"21:15, 13 September 2006",Kizor,0
839,"21:13, 13 September 2006",Beltz,+4
840,"21:12, 13 September 2006",132.205.45.148,+138
841,"21:11, 13 September 2006",64.229.72.222,−1
842,"21:09, 13 September 2006",Dark Piper,−1
843,"21:08, 13 September 2006",24.202.46.83,+1
844,"21:07, 13 September 2006",24.202.46.83,−431
845,"21:02, 13 September 2006",Kizor,+5
846,"21:02, 13 September 2006",132.205.45.148,+186
847,"21:02, 13 September 2006",Deenoe,+173
848,"21:01, 13 September 2006",24.202.46.83,+92
849,"20:59, 13 September 2006",24.202.46.83,+73
850,"20:58, 13 September 2006",Kizor,+14
851,"20:55, 13 September 2006",Qviri,−62
852,"20:54, 13 September 2006",Qviri,+2
853,"20:51, 13 September 2006",Kizor,−45
854,"20:50, 13 September 2006",YUL89YYZ,+46
855,"20:49, 13 September 2006",Kizor,+251
856,"20:46, 13 September 2006",Kizor,−26
857,"20:44, 13 September 2006",Fdesroches,+46
858,"20:42, 13 September 2006",Smoth 007,+148
859,"20:41, 13 September 2006",132.205.45.148,+190
860,"20:40, 13 September 2006",Kizor,−144
861,"20:38, 13 September 2006",Kizor,+175
862,"20:32, 13 September 2006",Kizor,+4
863,"20:32, 13 September 2006",132.205.45.148,+10
864,"20:31, 13 September 2006",132.205.45.148,+163
865,"20:29, 13 September 2006",132.205.45.148,−76
866,"20:26, 13 September 2006",132.205.45.148,+49
867,"20:23, 13 September 2006",132.205.45.148,−12
868,"20:22, 13 September 2006",132.205.45.148,+214
869,"20:22, 13 September 2006",DragonflySixtyseven,+4
870,"20:21, 13 September 2006",Peruvianllama,+124
871,"20:20, 13 September 2006",65.94.144.233,−7
872,"20:20, 13 September 2006",Gregorof,−3
873,"20:19, 13 September 2006",Qviri,0
874,"20:17, 13 September 2006",Gregorof,−27
875,"20:16, 13 September 2006",132.205.45.148,+181
876,"20:15, 13 September 2006",Gregorof,+19
877,"20:13, 13 September 2006",Peruvianllama,+20
878,"20:12, 13 September 2006",4.249.9.98,−2
879,"20:11, 13 September 2006",132.205.45.148,+19
880,"20:11, 13 September 2006",132.205.45.148,+297
881,"20:10, 13 September 2006",Kizor,+5
882,"20:09, 13 September 2006",Kizor,+57
883,"20:08, 13 September 2006",AntiVandalBot,
884,"20:08, 13 September 2006",74.117.72.239,
885,"20:07, 13 September 2006",Kizor,−49
886,"20:06, 13 September 2006",Wikianon,−20
887,"20:06, 13 September 2006",132.205.45.148,+204
888,"20:02, 13 September 2006",Peruvianllama,−1
889,"20:00, 13 September 2006",132.205.45.148,+150
890,"19:49, 13 September 2006",Gregorof,−14
891,"19:49, 13 September 2006",YUL89YYZ,+21
892,"19:47, 13 September 2006",Peruvianllama,+6
893,"19:46, 13 September 2006",Astrowob,0
894,"19:46, 13 September 2006",Gregorof,−85
895,"19:46, 13 September 2006",132.205.45.148,+102
896,"19:45, 13 September 2006",Wikianon,−208
897,"19:44, 13 September 2006",Wikianon,+466
898,"19:43, 13 September 2006",132.205.45.148,+188
899,"19:41, 13 September 2006",132.205.87.3,+263
900,"19:40, 13 September 2006",132.205.87.3,+130
901,"19:39, 13 September 2006",Reaper X,+92
902,"19:37, 13 September 2006",132.205.45.148,+208
903,"19:36, 13 September 2006",132.205.87.3,
904,"19:34, 13 September 2006",Rickyrab,−3
905,"19:34, 13 September 2006",132.205.45.148,+262
906,"19:33, 13 September 2006",Rickyrab,+1
907,"19:32, 13 September 2006",Say1988,+162
908,"19:29, 13 September 2006",Wikianon,−116
909,"19:28, 13 September 2006",DragonflySixtyseven,+174
910,"19:27, 13 September 2006",Wikianon,−162
911,"19:25, 13 September 2006",Gregorof,+28
912,"19:24, 13 September 2006",Gregorof,+9
913,"19:24, 13 September 2006",Rickyrab,+22
914,"19:23, 13 September 2006",Gregorof,+28
915,"19:21, 13 September 2006",Rickyrab,+81
916,"19:20, 13 September 2006",65.94.8.183,−1
917,"19:18, 13 September 2006",132.205.45.148,+207
918,"19:16, 13 September 2006",Qviri,0
919,"19:16, 13 September 2006",Wikianon,+115
920,"19:15, 13 September 2006",132.205.87.3,−2
921,"19:11, 13 September 2006",132.205.87.3,+125
922,"19:10, 13 September 2006",132.205.45.148,+107
923,"19:09, 13 September 2006",132.205.45.148,0
924,"19:09, 13 September 2006",Rickyrab,+65
925,"19:08, 13 September 2006",132.205.87.3,+1
926,"19:07, 13 September 2006",132.205.87.3,−57
927,"19:07, 13 September 2006",DragonflySixtyseven,+2
928,"19:07, 13 September 2006",132.205.87.3,+79
929,"19:06, 13 September 2006",Rickyrab,+57
930,"19:06, 13 September 2006",216.16.225.18,+25
931,"19:06, 13 September 2006",132.205.45.148,−1
932,"19:06, 13 September 2006",132.205.87.3,+71
933,"19:06, 13 September 2006",132.205.45.148,−9
934,"19:05, 13 September 2006",132.205.45.148,+23
935,"19:05, 13 September 2006",132.205.87.3,+21
936,"19:04, 13 September 2006",216.16.225.18,0
937,"19:04, 13 September 2006",Rickyrab,−1
938,"19:03, 13 September 2006",132.205.45.148,+31
939,"19:02, 13 September 2006",132.205.87.3,+1
940,"19:02, 13 September 2006",Rawr,−466
941,"19:01, 13 September 2006",Ritchy,−1
942,"19:00, 13 September 2006",Rickyrab,+70
943,"19:00, 13 September 2006",DragonflySixtyseven,+12
944,"18:59, 13 September 2006",Wikianon,+406
945,"18:59, 13 September 2006",Reaper X,+45
946,"18:59, 13 September 2006",132.205.87.3,+247
947,"18:57, 13 September 2006",209.205.244.5,+396
948,"18:56, 13 September 2006",Rickyrab,+14
949,"18:55, 13 September 2006",Rickyrab,+78
950,"18:55, 13 September 2006",WATP,+21
951,"18:54, 13 September 2006",YUL89YYZ,−34
952,"18:54, 13 September 2006",YUL89YYZ,0
953,"18:54, 13 September 2006",Wikianon,+17
954,"18:53, 13 September 2006",YUL89YYZ,+27
955,"18:53, 13 September 2006",Rickyrab,+61
956,"18:51, 13 September 2006",RzR~enwiki,+37
957,"18:50, 13 September 2006",132.205.45.148,+41
958,"18:49, 13 September 2006",Gregorof,+1
959,"18:48, 13 September 2006",Gregorof,−21
960,"18:47, 13 September 2006",132.205.45.148,+195
961,"18:46, 13 September 2006",Vanished user 9401996401,−187
962,"18:46, 13 September 2006",132.205.45.148,+23
963,"18:45, 13 September 2006",Gregorof,−27
964,"18:45, 13 September 2006",Montrealais,+96
965,"18:44, 13 September 2006",Vanished user 9401996401,0
966,"18:44, 13 September 2006",Vanished user 9401996401,+22
967,"18:43, 13 September 2006",132.205.45.148,+203
968,"18:43, 13 September 2006",204.52.215.107,+23
969,"18:42, 13 September 2006",Montrealais,+195
970,"18:42, 13 September 2006",204.52.215.107,+15
971,"18:42, 13 September 2006",Movabletype,+39
972,"18:41, 13 September 2006",204.52.215.107,+1
973,"18:39, 13 September 2006",204.52.215.107,+39
974,"18:38, 13 September 2006",204.52.215.107,+41
975,"18:38, 13 September 2006",Sepper,+201
976,"18:37, 13 September 2006",Vanished user 9401996401,+40
977,"18:37, 13 September 2006",SG,0
978,"18:36, 13 September 2006",204.52.215.107,0
979,"18:35, 13 September 2006",YUL89YYZ,+25
980,"18:35, 13 September 2006",204.52.215.107,+11
981,"18:35, 13 September 2006",Vanished user 9401996401,+68
982,"18:34, 13 September 2006",BGC,+1
983,"18:34, 13 September 2006",Vanished user 9401996401,+34
984,"18:32, 13 September 2006",132.205.45.148,+26
985,"18:32, 13 September 2006",132.205.45.148,+11
986,"18:31, 13 September 2006",132.205.87.3,0
987,"18:31, 13 September 2006",Gregorof,−28
988,"18:30, 13 September 2006",132.205.87.3,−85
989,"18:30, 13 September 2006",Gregorof,−16
990,"18:29, 13 September 2006",132.205.87.3,+3
991,"18:29, 13 September 2006",132.205.87.3,+82
992,"18:29, 13 September 2006",132.205.45.148,+1
993,"18:28, 13 September 2006",132.205.45.148,+1
994,"18:28, 13 September 2006",Samaster1991,−17
995,"18:28, 13 September 2006",132.205.45.148,+80
996,"18:28, 13 September 2006",Vanished user 9401996401,+3
997,"18:28, 13 September 2006",Vanished user 9401996401,+21
998,"18:27, 13 September 2006",132.205.45.148,+23
999,"18:26, 13 September 2006",Gregorof,+263
1000,"18:25, 13 September 2006",YUL89YYZ,+51
1001,"18:25, 13 September 2006",132.205.45.148,+281
1002,"18:23, 13 September 2006",132.205.45.148,+117
1003,"18:22, 13 September 2006",YUL89YYZ,+5
1004,"18:21, 13 September 2006",YUL89YYZ,+142
1005,"18:21, 13 September 2006",Samaster1991,+34
1006,"18:18, 13 September 2006",24.200.151.215,−1
1007,"18:15, 13 September 2006",Gregorof,+8
1008,"18:12, 13 September 2006",Montrealais,+291
1009,"18:10, 13 September 2006",Montrealais,+25
1010,"18:03, 13 September 2006",Samaster1991,+126
1011,"18:01, 13 September 2006",Samaster1991,−1
1012,"18:00, 13 September 2006",Samaster1991,+141
1013,"17:58, 13 September 2006",Samaster1991,+13
1014,"17:57, 13 September 2006",Samaster1991,+284
1015,"18:38, 13 September 2006",Sepper,+201
1016,"18:37, 13 September 2006",Vanished user 9401996401,+40
1017,"18:37, 13 September 2006",SG,0
1018,"18:36, 13 September 2006",204.52.215.107,0
1019,"18:35, 13 September 2006",YUL89YYZ,+25
1020,"18:35, 13 September 2006",204.52.215.107,+11
1021,"18:35, 13 September 2006",Vanished user 9401996401,+68
1022,"18:34, 13 September 2006",BGC,+1
1023,"18:34, 13 September 2006",Vanished user 9401996401,+34
1024,"18:32, 13 September 2006",132.205.45.148,+26
1025,"18:32, 13 September 2006",132.205.45.148,+11
1026,"18:31, 13 September 2006",132.205.87.3,0
1027,"18:31, 13 September 2006",Gregorof,−28
1028,"18:30, 13 September 2006",132.205.87.3,−85
1029,"18:30, 13 September 2006",Gregorof,−16
1030,"18:29, 13 September 2006",132.205.87.3,+3
1031,"18:29, 13 September 2006",132.205.87.3,+82
1032,"18:29, 13 September 2006",132.205.45.148,+1
1033,"18:28, 13 September 2006",132.205.45.148,+1
1034,"18:28, 13 September 2006",Samaster1991,−17
1035,"18:28, 13 September 2006",132.205.45.148,+80
1036,"18:28, 13 September 2006",Vanished user 9401996401,+3
1037,"18:28, 13 September 2006",Vanished user 9401996401,+21
1038,"18:27, 13 September 2006",132.205.45.148,+23
1039,"18:26, 13 September 2006",Gregorof,+263
1040,"18:25, 13 September 2006",YUL89YYZ,+51
1041,"18:25, 13 September 2006",132.205.45.148,+281
1042,"18:23, 13 September 2006",132.205.45.148,+117
1043,"18:22, 13 September 2006",YUL89YYZ,+5
1044,"18:21, 13 September 2006",YUL89YYZ,+142
1045,"18:21, 13 September 2006",Samaster1991,+34
1046,"18:18, 13 September 2006",24.200.151.215,−1
1047,"18:15, 13 September 2006",Gregorof,+8
1048,"18:12, 13 September 2006",Montrealais,+291
1049,"18:10, 13 September 2006",Montrealais,+25
1050,"18:03, 13 September 2006",Samaster1991,+126
1051,"18:01, 13 September 2006",Samaster1991,−1
1052,"18:00, 13 September 2006",Samaster1991,+141
1053,"17:58, 13 September 2006",Samaster1991,+13
1054,"17:57, 13 September 2006",Samaster1991,+284
